Pathogen,Genome_Positions,Covered_Positions,Coverage_Percent,Coverage_5x_Percent,Coverage_10x_Percent,Mean_Depth
Streptococcus pneumoniae,2221315,1598799,71.97533893211904,47.564528218645265,25.931126382345592,9.812479994957942
Haemophilus influenzae,1830138,456550,24.946206242370796,4.903072883028493,0.9400930421640336,0.7329381718755634
